carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_2000_carreiras,Destro (r1),Destro (r2),Canhoto (r1),Canhoto (r2),Vitinho (r1),Vitinho (r2),Dembele (r1),Dembele (r2),Viciado (r1),Viciado (r2),Elon Musk (r1),Elon Musk (r2),Gabigol (r1),Gabigol (r2),CR7 (r1),CR7 (r2),Diego Ribas (r1),Diego Ribas (r2),Bruno (r1),Bruno (r2)
apostas_estouro_01,estouro,apostas,12,legado,arco,317,11,7,0,1,8,7,16,20,56,44,19,19,0,0,0,0,8,7,46,48
apostas_estouro_02,estouro,apostas,8,padrao,evento,207,7,3,0,0,6,5,16,8,37,28,7,6,0,0,0,0,3,6,37,38
apostas_estouro_03,estouro/travessia,apostas,6,padrao,rotina,60,0,0,0,0,0,0,2,0,25,16,0,0,0,0,0,0,1,0,4,12
apostas_travessia_01,travessia,apostas,12,legado,arco,160,0,0,0,0,0,3,3,0,42,40,0,0,0,0,0,0,0,0,34,38
apostas_travessia_02,travessia/auge,apostas,9,padrao,evento,95,0,0,0,0,0,0,0,1,31,28,0,0,0,0,0,0,0,0,14,21
apostas_travessia_03,travessia/auge,apostas,6,padrao,rotina,178,0,0,0,0,0,0,0,0,50,43,1,0,0,0,0,0,0,0,33,51
apostas_travessia_04,travessia/auge,apostas,9,padrao,evento,108,0,1,0,0,0,0,2,0,29,24,0,0,0,0,0,0,0,0,28,24
apostas_auge_01,auge,apostas,20,legado,arco,89,0,0,0,0,0,0,1,0,34,27,0,0,0,0,0,0,0,0,10,17
apostas_auge_02,auge,apostas,11,legado,arco,98,0,0,0,0,0,0,1,0,23,31,0,0,0,0,0,0,0,0,19,24
apostas_auge_03,auge,apostas,10,padrao,evento,46,0,0,0,0,0,0,1,0,17,12,0,0,0,0,0,0,0,0,4,12
apostas_auge_04,auge/declinio,apostas,6,padrao,rotina,51,0,0,0,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,4,10
apostas_declinio_01,declinio,apostas,14,legado,arco,37,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,8,9
apostas_declinio_02,declinio,apostas,9,legado,evento,34,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,5,11
apostas_declinio_03,declinio,apostas,16,importante,arco,58,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,11,11
capitao_partida,estouro/travessia/auge,capitao,0,importante,partida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capitao_bracadeira,auge,capitao,10,importante,arco,65,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,14,18
capitao_estouro_01,estouro,capitao,10,padrao,evento,263,9,4,0,2,13,9,14,5,44,40,10,12,0,1,0,0,5,4,41,50
capitao_estouro_02,estouro/travessia,capitao,10,padrao,evento,367,4,6,0,1,12,11,14,10,72,74,17,16,0,0,0,0,4,3,58,65
capitao_estouro_03,estouro/travessia/auge,capitao,6,padrao,rotina,303,3,5,0,0,8,5,6,8,73,69,5,8,0,0,0,0,2,2,48,61
capitao_estouro_04,estouro,capitao,10,padrao,evento,270,8,9,0,1,7,11,8,10,45,40,8,15,0,0,0,0,10,9,41,48
capitao_travessia_01,travessia,capitao,12,importante,arco,182,0,0,0,0,0,1,5,2,44,45,1,0,0,0,0,0,0,0,35,49
capitao_travessia_02,travessia/auge,capitao,9,padrao,evento,201,0,0,0,0,1,1,2,1,56,54,1,0,0,0,0,0,0,0,36,49
capitao_travessia_03,travessia/auge,capitao,6,padrao,rotina,161,1,0,0,0,0,0,1,1,50,49,0,0,0,0,0,0,0,0,31,28
capitao_travessia_04,travessia/auge,capitao,9,padrao,evento,180,0,0,0,0,1,1,3,0,47,47,0,0,0,0,0,0,1,0,34,46
capitao_auge_01,auge,capitao,9,padrao,evento,81,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,19,16
capitao_auge_02,auge,capitao,11,importante,arco,73,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,0,17,17
capitao_auge_03,auge,capitao,10,padrao,evento,84,0,0,0,0,0,0,0,0,24,19,0,0,0,0,0,0,0,0,17,24
capitao_auge_04,auge,capitao,6,padrao,rotina,53,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,12,13
capitao_auge_05,auge,capitao,9,padrao,evento,76,0,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,16,15
capitao_almeida_01,estouro,capitao,10,padrao,evento,83,5,3,1,0,2,2,5,1,20,19,2,1,0,1,0,0,2,2,7,10
capitao_almeida_02,travessia,capitao,10,padrao,evento,57,0,0,0,0,1,0,0,0,23,14,0,0,0,0,0,0,0,0,8,11
capitao_almeida_03,auge,capitao,12,importante,arco,34,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,5,7
capitao_almeida_04,auge,capitao,9,padrao,evento,20,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,4,3
capitao_almeida_05,auge,capitao,9,padrao,evento,22,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,3,3
capitao_setubal_01,estouro,capitao,10,padrao,evento,68,3,1,0,0,3,2,5,1,5,12,3,3,0,0,0,0,1,2,10,17
capitao_setubal_02,travessia,capitao,11,padrao,evento,37,0,0,0,0,0,0,2,0,8,12,0,0,0,0,0,0,0,0,3,12
capitao_setubal_03,auge,capitao,12,importante,arco,9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6
capitao_setubal_04,auge,capitao,9,padrao,evento,16,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,5
capitao_setubal_05,auge,capitao,10,padrao,evento,16,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,6
capitao_bonfim_01,estouro,capitao,10,padrao,evento,63,0,3,1,0,3,1,1,2,7,12,5,3,0,0,0,0,2,2,13,8
capitao_bonfim_02,travessia,capitao,12,importante,arco,54,0,0,0,0,0,0,1,1,9,16,0,0,0,0,0,0,0,0,17,10
capitao_bonfim_03,auge,capitao,12,importante,arco,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,7
capitao_bonfim_04,auge,capitao,12,importante,arco,27,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,5,6
capitao_bonfim_05,auge,capitao,9,padrao,evento,16,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,2
capitao_duda_01,estouro,capitao,10,padrao,evento,50,0,1,0,0,1,4,1,2,9,8,0,4,0,0,0,0,0,3,6,11
capitao_duda_02,travessia,capitao,12,legado,evento,48,0,0,0,0,0,0,0,1,13,9,0,0,0,0,0,0,0,0,12,13
capitao_duda_03,auge,capitao,12,importante,arco,24,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,7,6
capitao_duda_04,auge,capitao,9,padrao,evento,20,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,6,5
capitao_duda_05,auge,capitao,9,padrao,evento,18,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,7
companheira_01,travessia,companheira,12,importante,arco,180,0,0,0,0,1,0,1,0,54,55,0,0,0,0,0,0,0,0,25,44
companheira_pedagio,travessia,companheira,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_carreira_01,travessia,companheira,12,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_carreira_02,travessia/auge,companheira,11,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_ruptura,auge,companheira,11,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_distancia_01,travessia/auge,companheira,12,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_distancia_02,auge,companheira,14,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_auge_01,auge,companheira,6,padrao,rotina,12,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,4
companheira_auge_02,auge,companheira,9,padrao,evento,19,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,4
companheira_auge_03,auge,companheira,11,importante,evento,19,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,8
companheira_declinio_01,declinio,companheira,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
companheira_declinio_02,declinio,companheira,12,importante,arco,8,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1
companheira_declinio_03,declinio,companheira,6,padrao,rotina,10,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,2
companheira_legado_01,legado,companheira,11,importante,arco,19,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,3,3
companheira_legado_02,legado,companheira,10,padrao,evento,14,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,3
companheira_ausencia,travessia/auge/declinio,companheira,7,padrao,rotina,178,0,1,0,0,0,0,2,0,51,46,0,0,0,0,0,0,0,0,38,40
coord_base_01,base,coord_base,10,padrao,evento,527,26,28,27,29,34,34,26,23,19,34,25,33,18,21,16,14,28,29,36,27
coord_base_02,base,coord_base,6,padrao,rotina,344,13,17,16,13,19,13,14,20,17,26,23,22,11,13,15,8,20,11,27,26
coord_base_03,base,coord_base,10,padrao,evento,517,26,23,21,26,17,23,31,31,34,37,31,29,15,17,25,12,31,29,23,36
coord_base_04,base,coord_base,6,padrao,rotina,345,20,15,10,16,23,16,16,20,28,23,18,22,8,11,14,9,24,15,14,23
coord_base_05,base,coord_base,11,padrao,evento,559,27,31,24,28,23,29,33,29,34,37,32,29,26,15,16,20,28,29,30,39
coord_base_06,base,coord_base,10,padrao,evento,517,25,25,24,19,22,26,35,25,39,21,30,35,13,20,12,13,35,29,33,36
