carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_1000_carreiras,Destro,Canhoto,Vitinho,Dembele,Viciado,Elon Musk,Gabigol,CR7,Diego Ribas,Bruno
apostas_estouro_01,estouro,apostas,12,legado,arco,164,11,0,8,16,56,19,0,0,8,46
apostas_estouro_02,estouro,apostas,8,padrao,evento,113,7,0,6,16,37,7,0,0,3,37
apostas_estouro_03,estouro/travessia,apostas,6,padrao,rotina,32,0,0,0,2,25,0,0,0,1,4
apostas_travessia_01,travessia,apostas,12,legado,arco,79,0,0,0,3,42,0,0,0,0,34
apostas_travessia_02,travessia/auge,apostas,9,padrao,evento,45,0,0,0,0,31,0,0,0,0,14
apostas_travessia_03,travessia/auge,apostas,6,padrao,rotina,84,0,0,0,0,50,1,0,0,0,33
apostas_travessia_04,travessia/auge,apostas,9,padrao,evento,59,0,0,0,2,29,0,0,0,0,28
apostas_auge_01,auge,apostas,20,legado,arco,45,0,0,0,1,34,0,0,0,0,10
apostas_auge_02,auge,apostas,11,legado,arco,43,0,0,0,1,23,0,0,0,0,19
apostas_auge_03,auge,apostas,10,padrao,evento,22,0,0,0,1,17,0,0,0,0,4
apostas_auge_04,auge/declinio,apostas,6,padrao,rotina,23,0,0,0,0,19,0,0,0,0,4
apostas_declinio_01,declinio,apostas,14,legado,arco,17,0,0,0,0,9,0,0,0,0,8
apostas_declinio_02,declinio,apostas,9,legado,evento,10,0,0,0,0,5,0,0,0,0,5
apostas_declinio_03,declinio,apostas,16,importante,arco,29,0,0,0,0,18,0,0,0,0,11
capitao_partida,estouro/travessia/auge,capitao,0,importante,partida,0,0,0,0,0,0,0,0,0,0,0
capitao_bracadeira,auge,capitao,10,importante,arco,28,0,0,0,0,14,0,0,0,0,14
capitao_estouro_01,estouro,capitao,10,padrao,evento,136,9,0,13,14,44,10,0,0,5,41
capitao_estouro_02,estouro/travessia,capitao,10,padrao,evento,181,4,0,12,14,72,17,0,0,4,58
capitao_estouro_03,estouro/travessia/auge,capitao,6,padrao,rotina,145,3,0,8,6,73,5,0,0,2,48
capitao_estouro_04,estouro,capitao,10,padrao,evento,127,8,0,7,8,45,8,0,0,10,41
capitao_travessia_01,travessia,capitao,12,importante,arco,85,0,0,0,5,44,1,0,0,0,35
capitao_travessia_02,travessia/auge,capitao,9,padrao,evento,96,0,0,1,2,56,1,0,0,0,36
capitao_travessia_03,travessia/auge,capitao,6,padrao,rotina,83,1,0,0,1,50,0,0,0,0,31
